title,price,rating,reviews,availability
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,2149,4.2 out of 5 stars,"151,907 ratings",In stock
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",1299,4.2 out of 5 stars,"151,907 ratings",In stock
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)",1699,4.3 out of 5 stars,"20,158 ratings",In stock
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)",1599,4.0 out of 5 stars,"24,030 ratings",In stock
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Tripe Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Blue)",1599,4.0 out of 5 stars,"24,030 ratings",In stock
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More",3099,4.2 out of 5 stars,"1,116 ratings",In stock
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",999,3.9 out of 5 stars,"13,503 ratings",In stock
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Green)",1599,4.0 out of 5 stars,"24,030 ratings",In stock
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",1499,3.9 out of 5 stars,"12,954 ratings",In stock
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),1299,4.2 out of 5 stars,"151,907 ratings",In stock
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",999,3.9 out of 5 stars,"13,503 ratings",In stock
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh Slim Power Bank, USB C/Micro USB Input, Dual USB A Output, Compatible with iPhone 14 13 12 11 Samsung S22 S23 S21 Google Pixel 7 Oneplus (Black-P10)",599,3.9 out of 5 stars,"1,430 ratings",In stock
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Blue)",999,3.9 out of 5 stars,"13,503 ratings",In stock
"Amazon Basics 20000mAh 22.5W Lithium-Polymer Power Bank | Dual Input, Triple Output | Fast Charging, Black, Type-C Cable Included",1579,3.8 out of 5 stars,"1,883 ratings",In stock
"Amazon Basics 20000mAh 12W Lithium-Polymer Power Bank | Dual Input, Dual Output | Black, Type-C Cable Included",1219,3.8 out of 5 stars,"1,883 ratings",In stock
URBN 20000 mAh Premium Black Edition Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Black),2499,4.1 out of 5 stars,"3,383 ratings",In stock
Amazon Basics 5000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 20W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above (White),1099,4.3 out of 5 stars,"2,441 ratings",In stock
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Cobalt Blue-P10)",499,3.9 out of 5 stars,"1,430 ratings",In stock
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Blue)",1499,3.9 out of 5 stars,"12,954 ratings",In stock
"URBN 10000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",1039,3.9 out of 5 stars,"12,954 ratings",In stock
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),2499,4.1 out of 5 stars,"3,383 ratings",In stock
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)",2499,4.0 out of 5 stars,"5,295 ratings",In stock
"Anker 10000 mAh PD Power Bank, PowerCore (Series 3), Fast Charging PowerIQ (PIQ) Technology, USB-C Input, USB-A & USB-C Output, Charge 2 Devices at Once, Ultra Slim Portable Charger",1999,4.3 out of 5 stars,"83,609 ratings",In stock
"URBN 10000 mAh 20W Super Fast Charging Ultra Compact Nano Lithium_ion Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Type C Cable Included (Camo)",1499,4.1 out of 5 stars,"3,383 ratings",In stock
